,Content ID,ReactionType,ContentType,Category,Sentiment,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,negative,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,photo,Studying,negative,0
3,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,photo,Healthy Eating,negative,0
4,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,photo,Healthy Eating,negative,0
5,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,Dogs,negative,0
6,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,Dogs,negative,0
7,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,video,Dogs,negative,0
8,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,photo,Public Speaking,negative,0
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,photo,Public Speaking,negative,0
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,GIF,Science,negative,0
11,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,Tennis,negative,0
12,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,Tennis,negative,0
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,Tennis,negative,0
14,0be59876-d70c-486c-8e0b-a06bef7a2cd6,disgust,GIF,Tennis,negative,0
15,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,Food,negative,0
16,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,Food,negative,0
17,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,Food,negative,0
18,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,Food,negative,0
19,81abd65a-3b76-4574-a0a7-db6bf7184ae2,disgust,video,Food,negative,0
20,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,disgust,GIF,Fitness,negative,0
21,f332d362-dc48-46c2-a64b-641157c0987e,disgust,GIF,Soccer,negative,0
22,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,Public Speaking,negative,0
23,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,Public Speaking,negative,0
24,a2e93b29-9259-4092-a4d7-62d5e823bb74,disgust,video,Public Speaking,negative,0
25,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,video,Food,negative,0
26,9b3a6d30-48e8-476c-82be-9031524bd04d,disgust,video,Food,negative,0
27,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,Tennis,negative,0
28,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,Tennis,negative,0
29,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,Tennis,negative,0
30,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,disgust,video,Tennis,negative,0
31,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,Soccer,negative,0
32,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,Soccer,negative,0
33,baa2db00-81ba-4c34-b17d-dd950bfa133b,disgust,GIF,Soccer,negative,0
34,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,Soccer,negative,0
35,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,Soccer,negative,0
36,f98dde71-ce1d-4f6c-bb05-ae05779d2207,disgust,GIF,Soccer,negative,0
37,388bd9db-9d10-4f47-87c4-6db46e83bc95,disgust,video,Education,negative,0
38,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,Studying,negative,0
39,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,Studying,negative,0
40,78d0075f-895c-4a15-a35c-a921e2bb2cea,disgust,photo,Studying,negative,0
41,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,photo,Travel,negative,0
42,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,disgust,photo,Travel,negative,0
43,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,disgust,audio,Dogs,negative,0
44,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,GIF,Science,negative,0
45,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,GIF,Science,negative,0
46,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,GIF,Veganism,negative,0
47,2920dccb-e06f-49fc-8049-b6d4164dfe84,disgust,GIF,Veganism,negative,0
48,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,photo,Healthy Eating,negative,0
49,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,video,Food,negative,0
50,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,disgust,video,Food,negative,0
